$Date,$Time,FE1_AIRFLOW,FE1_BATCHTIME,FE1_BLUELIGHT,FE1_CO2FLOW,FE1_DO,FE1_FEEDRATEA,FE1_FEEDRATEB,FE1_LEVEL,FE1_OD,FE1_PH,FE1_REDLIGHT,FE1_STIRRERSPEED,FE1_SUMACID,FE1_SUMBASE,FE1_TEMPERATURE
12/12/18,11:24:00 AM,1000,1.769444,5711.897,16.01382,74.41544,170.0201,0,98.70602,12.21103,7.36303,14754.2,148.7372,0,0,29.83235
12/12/18,11:25:00 AM,1000,1.785,5742.138,16.01993,74.41544,174.3419,0,98.70602,12.08896,7.36303,14814.97,148.7372,0,0,29.83235
12/12/18,11:26:00 AM,1000,1.803333,5762.325,16.01993,74.41544,179.8053,0,98.70602,12.57725,7.36303,14865.55,148.7372,0,0,29.83235
12/12/18,11:27:00 AM,1000,1.818889,5782.472,16.01993,74.41544,185.8358,0,98.70602,12.94347,7.36303,14915.95,148.7372,0,0,29.83235
12/12/18,11:28:00 AM,1000,1.834722,5812.633,16.01993,74.62978,192.8637,0,98.70602,13.70642,7.36303,14976.71,148.7372,0,0,29.83235
12/12/18,11:29:00 AM,1000,1.853333,5832.82,16.01993,74.62978,200.4782,0,98.70602,14.49989,7.383464,15027.02,148.7372,0,0,29.83235
12/12/18,11:30:00 AM,1000,1.868611,5852.967,16.01382,74.62978,208.35,0,98.70602,15.01869,7.383464,15087.61,148.7372,0,0,29.83235
12/12/18,11:31:00 AM,1000,1.887222,5883.208,16.01382,74.62978,215.8583,0,98.70602,15.38491,7.383464,15138,148.7372,0,0,29.83235
12/12/18,11:32:00 AM,1000,1.903056,5903.395,16.01382,74.62978,223.9452,0,98.70602,15.78164,7.383464,15188.86,148.7372,0,0,29.83235
12/12/18,11:33:00 AM,1000,1.918611,5933.557,16.01382,74.62978,232.5206,0,98.70602,16.30045,7.383464,15249.62,148.7372,0,0,29.83235
12/12/18,11:34:00 AM,1000,1.937222,5953.704,16.01382,74.62978,240.0575,0,98.70602,16.08682,7.383464,15300.2,148.7372,0,0,29.83235
12/12/18,11:35:00 AM,1000,1.9525,5973.891,16.01382,74.62978,243.8432,0,98.70602,14.43885,7.383464,15351.05,148.7372,0,0,29.83235
12/12/18,11:36:00 AM,1000,1.968333,6004.132,16.01382,74.62978,247.7417,0,98.70602,13.52331,7.383464,15411.55,148.7372,0,0,29.83235
12/12/18,11:37:00 AM,1000,1.986944,6024.279,16.01382,74.62978,253.3436,0,98.70602,13.52331,7.403803,15462.22,148.7372,0,0,29.83235
12/12/18,11:38:00 AM,1000,2.0025,6044.347,16.01382,74.62978,257.3629,0,98.70602,12.85191,7.403803,15522.53,148.7372,0,0,29.83235
12/12/18,11:39:00 AM,1000,2.020833,6074.627,16.01382,74.62978,262.382,0,98.70602,12.85191,7.403803,15573.29,148.7372,0,0,29.83235
12/12/18,11:40:00 AM,1000,2.036667,6094.774,16.01382,74.42723,269.1662,0,98.70602,13.61486,7.403803,15633.61,148.7372,0,0,29.83235
12/12/18,11:41:00 AM,1000,2.052222,6114.961,16.01382,74.63016,277.0798,0,98.70602,14.49989,7.403803,15684.28,148.7372,0,0,29.83235
12/12/18,11:42:00 AM,1000,2.070833,6145.083,16.01382,74.63016,285.7863,0,98.70602,15.38491,7.403803,15734.58,148.7372,0,0,29.83235
12/12/18,11:43:00 AM,1000,2.086111,6165.27,16.01993,74.63016,294.1342,0,98.70602,15.90372,7.403803,15795.35,148.7372,0,0,29.83235
12/12/18,11:44:00 AM,1000,2.101944,6185.417,16.01993,74.42416,0,0,98.70602,14.77455,7.403803,15845.75,148.7372,0,0,29.83235
12/12/18,11:45:00 AM,1000,2.120556,6215.698,16.01382,74.42416,0,0,98.70602,13.73693,7.403803,15896.6,148.7372,0,0,29.83235
12/12/18,11:46:00 AM,1000,2.136111,6235.766,16.01382,74.42416,0,0,98.70602,12.60777,7.403803,15957.18,148.7372,0,0,29.83235
12/12/18,11:47:00 AM,1000,2.154444,6266.007,16.01382,74.62563,0,0,98.70602,11.29549,7.403803,16008.03,148.7372,0,0,29.83235
12/12/18,11:48:00 AM,1000,2.170278,6286.154,16.01382,75.23463,0,0,98.70602,11.78378,7.403803,16068.8,148.7372,0,0,29.83235
12/12/18,11:49:00 AM,1000,2.185833,6306.341,16.01382,75.23463,0,0,98.70602,12.27207,7.403803,16119.38,148.7372,0,0,29.9357
12/12/18,11:50:00 AM,1000,2.204444,6336.502,16.01382,75.65248,0,0,98.70602,11.90585,7.403803,16169.78,148.7372,0,0,29.83235
12/12/18,11:51:00 AM,1000,2.219722,6356.65,16.01382,75.65248,0,0,98.70602,11.38704,7.403803,16230.55,148.7372,0,0,29.83235
12/12/18,11:52:00 AM,1000,2.235556,6376.836,16.01382,75.86312,0,0,98.70602,11.99741,7.403803,16280.85,148.7372,0,0,29.83235
12/12/18,11:53:00 AM,1000,2.254167,6407.077,16.01382,75.86312,0,0,98.70602,12.82139,7.403803,16341.44,148.7372,0,0,29.83235
12/12/18,11:54:00 AM,1000,2.269722,6427.224,16.01382,76.08557,0,0,98.70602,13.73693,7.403803,16391.83,148.7372,0,0,29.9357
12/12/18,11:55:00 AM,1000,2.285,6447.412,16.01382,76.29314,0,0,98.70602,13.61486,7.403803,16442.69,148.7372,0,0,29.83235
12/12/18,11:56:00 AM,1000,2.304167,6477.573,16.01382,76.29314,0,0,98.70602,13.0045,7.403803,16503.45,148.7372,0,0,29.83235
12/12/18,11:57:00 AM,1000,2.319444,6497.72,16.01382,76.29314,0,0,98.70602,12.36362,7.403803,16554.03,148.7372,0,0,29.83235
12/12/18,11:58:00 AM,1000,2.335,6517.907,16.01382,76.29314,0,0,98.70602,12.36362,7.403803,16615.07,148.7372,0,0,29.87254
12/12/18,11:59:00 AM,1000,2.353611,6548.148,16.01382,76.49355,0,0,98.70602,13.3402,7.403803,16665.38,148.7372,0,0,29.87254
12/12/18,12:00:00 PM,1000,2.369444,6568.295,16.01382,76.49355,0,0,98.70602,13.73693,7.403803,16716.05,148.7372,0,0,29.87254
12/12/18,12:01:00 PM,1000,2.387778,6598.457,16.01382,76.49355,0,0,98.70602,13.73693,7.383409,16776.54,148.7372,0,0,29.87254
12/12/18,12:02:00 PM,1000,2.403333,6618.644,16.01382,76.69535,0,0,98.70602,12.48569,7.383409,16827.12,148.7372,0,0,29.87254
12/12/18,12:03:00 PM,1000,2.418889,6638.791,16.01382,76.69535,0,0,98.70602,10.77668,7.383409,16887.71,148.7372,0,0,29.87254
12/12/18,12:04:00 PM,1000,2.434722,6669.032,16.01993,76.69535,0,0,98.70602,10.50202,7.383409,16938.11,148.7372,0,0,29.87254
12/12/18,12:05:00 PM,1000,2.453056,6689.1,16.01993,76.69535,0,0,98.70602,11.11238,7.383409,16988.69,148.7372,0,0,29.87254
